timestamp,step,loss,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1764120352,0,4.469275951385498,3415605248,17179869184,5,2
1764120353,10,4.898446559906006,3799384064,17179869184,66,60
1764120354,20,2.5896174907684326,3799384064,17179869184,62,57
1764120354,30,nan,3799384064,17179869184,59,55
1764120357,40,nan,3799384064,17179869184,57,50
1764120358,50,4.978071212768555,3799384064,17179869184,56,50
1764120359,60,3.413729667663574,3799384064,17179869184,58,50
1764120364,70,4.3592047691345215,3799384064,17179869184,55,49
1764120364,80,3.049164295196533,3799384064,17179869184,58,55
1764120365,90,3.9298171997070312,3799384064,17179869184,55,50
1764120370,100,5.407551288604736,3799384064,17179869184,55,49
1764120370,110,nan,3799384064,17179869184,58,51
1764120371,120,3.7821948528289795,3799384064,17179869184,57,49
1764120375,130,nan,3799384064,17179869184,62,58
1764120376,140,4.361404895782471,3799384064,17179869184,56,50
1764120377,150,nan,3799384064,17179869184,60,57
1764120382,160,2.892439603805542,3799384064,17179869184,55,49
1764120382,170,2.787513256072998,3799384064,17179869184,59,52
1764120383,180,5.51353645324707,3799384064,17179869184,51,43
1764120387,190,nan,3799384064,17179869184,56,48
1764120388,200,4.0517449378967285,3799384064,17179869184,63,59
1764120389,210,3.531522274017334,3799384064,17179869184,62,58
1764120394,220,nan,3799384064,17179869184,61,57
1764120394,230,5.95700216293335,3799384064,17179869184,60,54
1764120395,240,nan,3799384064,17179869184,59,56
1764120399,250,nan,3799384064,17179869184,58,51
1764120400,260,3.738983154296875,3799384064,17179869184,63,59
1764120401,270,3.58819580078125,3799384064,17179869184,62,57
1764120405,280,2.918574333190918,3799384064,17179869184,52,45
1764120406,290,6.470364570617676,3799384064,17179869184,64,58
1764120407,300,nan,3799384064,17179869184,60,56
1764120411,310,2.6424903869628906,3799384064,17179869184,57,50
1764120412,320,5.055125713348389,3799384064,17179869184,61,58
1764120413,330,3.9673006534576416,3799384064,17179869184,57,50
1764120418,340,nan,3799384064,17179869184,61,56
1764120418,350,2.0881776809692383,3799384064,17179869184,61,57
1764120419,360,3.133880615234375,3799384064,17179869184,54,48
1764120424,370,4.193139553070068,3799384064,17179869184,60,57
1764120425,380,nan,3799384064,17179869184,55,49
1764120425,390,2.909236431121826,3799384064,17179869184,55,47
1764120430,400,nan,3799384064,17179869184,55,49
1764120431,410,nan,3801481216,17179869184,58,54
1764120431,420,nan,3801481216,17179869184,58,55
1764120436,430,3.6027302742004395,3801481216,17179869184,55,48
1764120437,440,5.1227922439575195,3801481216,17179869184,62,58
1764120437,450,2.635798692703247,3801481216,17179869184,63,58
1764120442,460,2.9128291606903076,3801481216,17179869184,53,48
1764120443,470,3.7131919860839844,3801481216,17179869184,59,52
1764120443,480,nan,3801481216,17179869184,61,54
1764120448,490,nan,3801481216,17179869184,57,54
