timestamp,job_names,working_time,total_running_times,scheduler_overhead,total_scheduler_overhead,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1764138396,second gpt2-small,75,75,0.00010895729064941406,0.00010895729064941406,16600399872,17179869184,98,58
1764138477,third gpt2-small,75,75,0.00019669532775878906,0.0003056526184082031,16365518848,17179869184,100,51
1764138559,gpt2-medium,75,75,0.00019788742065429688,0.0005035400390625,10902437888,17179869184,0,0
1764138651,third gpt2-small,75,150,0.0001933574676513672,0.0006968975067138672,17065967616,17179869184,100,46
1764138732,second gpt2-small,75,150,0.00019025802612304688,0.0008871555328369141,16191455232,17179869184,100,51
1764138812,gpt2-medium,75,150,0.00019884109497070312,0.0010859966278076172,13244956672,17179869184,2,0
1764138903,third gpt2-small,75,225,0.00036263465881347656,0.0014486312866210938,485883904,17179869184,0,0
1764138978,second gpt2-small,75,225,0.00019502639770507812,0.0016436576843261719,485883904,17179869184,0,0
1764139053,gpt2-medium,75,225,0.00021147727966308594,0.0018551349639892578,485883904,17179869184,0,0
1764139129,first gpt2-small,75,75,0.00020074844360351562,0.0020558834075927734,13016367104,17179869184,100,49
1764139209,first gpt2-small,75,150,0.0001862049102783203,0.0022420883178710938,14798946304,17179869184,100,53
1764139290,first gpt2-small,75,225,0.0001842975616455078,0.0024263858795166016,485883904,17179869184,0,0
